q_e,eps_ratio,branch_id,type,residual
2.8000000000000003,1,0,nr,3.782e-16
2.8125000000000004,1,0,nr,3.782e-16
2.8250000000000002,1,0,nr,3.782e-16
2.8375000000000004,1,0,nr,3.782e-16
2.8500000000000005,1,0,nr,3.782e-16
2.8625000000000003,1,0,nr,3.782e-16
2.8750000000000004,1,0,nr,3.782e-16
2.8875000000000002,1,0,nr,3.782e-16
2.9000000000000004,1,0,nr,3.782e-16
2.9125000000000005,1,0,nr,3.782e-16
2.9250000000000003,1,0,nr,3.782e-16
2.9375000000000004,1,0,nr,3.782e-16
2.9500000000000002,1,0,nr,3.782e-16
2.9625000000000004,1,0,nr,3.782e-16
2.9750000000000005,1,0,nr,3.782e-16
2.9875000000000003,1,0,nr,3.782e-16
3.0000000000000004,1,0,nr,3.782e-16
3.0125000000000002,1,0,nr,3.782e-16
3.0250000000000004,1,0,nr,3.782e-16
3.0375000000000005,1,0,nr,3.782e-16
3.0500000000000003,1,0,nr,3.782e-16
3.0625000000000004,1,0,nr,3.782e-16
3.0750000000000002,1,0,nr,3.782e-16
3.0875000000000004,1,0,nr,3.782e-16
3.1000000000000005,1,0,nr,3.782e-16
3.1125000000000003,1,0,nr,3.782e-16
3.1250000000000004,1,0,nr,3.782e-16
3.1375000000000002,1,0,nr,3.782e-16
3.1500000000000004,1,0,nr,3.782e-16
3.1625000000000005,1,0,nr,3.782e-16
3.1750000000000003,1,0,nr,3.782e-16
3.1875000000000004,1,0,nr,3.782e-16
3.2000000000000002,1,0,nr,3.782e-16
3.2125000000000004,1,0,nr,3.782e-16
3.2250000000000005,1,0,nr,3.782e-16
3.2375000000000003,1,0,nr,3.782e-16
3.2500000000000004,1,0,nr,3.782e-16
3.2625000000000002,1,0,nr,3.782e-16
3.2750000000000004,1,0,nr,3.782e-16
3.2875000000000005,1,0,nr,3.782e-16
3.3000000000000003,1,0,nr,3.782e-16
3.3125000000000004,1,0,nr,3.782e-16
3.3250000000000002,1,0,nr,3.782e-16
3.3375000000000004,1,0,nr,3.782e-16
3.3500000000000005,1,0,nr,3.782e-16
3.3625000000000003,1,0,nr,3.782e-16
3.3750000000000004,1,0,nr,3.782e-16
3.3875000000000002,1,0,nr,3.782e-16
3.4000000000000004,1,0,nr,3.782e-16
3.4125000000000005,1,0,nr,3.782e-16
3.4250000000000003,1,0,nr,3.782e-16
3.4375000000000004,1,0,nr,3.782e-16
3.4500000000000002,1,0,nr,3.782e-16
3.4625000000000004,1,0,nr,3.782e-16
3.4750000000000005,1,0,nr,3.782e-16
3.4875000000000003,1,0,nr,3.782e-16
3.5000000000000004,1,0,nr,3.782e-16
3.5125000000000002,1,0,nr,3.782e-16
3.5250000000000004,1,0,nr,3.782e-16
3.5375000000000005,1,0,nr,3.782e-16
3.5500000000000003,1,0,nr,3.782e-16
3.5625000000000004,1,0,nr,3.782e-16
3.5750000000000002,1,0,nr,3.782e-16
3.5875000000000004,1,0,nr,3.782e-16
3.6000000000000005,1,0,nr,3.782e-16
3.6125000000000003,1,0,nr,3.782e-16
3.6250000000000004,1,0,nr,3.782e-16
3.6375000000000002,1,0,nr,3.782e-16
3.6500000000000004,1,0,nr,3.782e-16
3.6625000000000005,1,0,nr,3.782e-16
3.6750000000000003,1,0,nr,3.782e-16
3.6875000000000004,1,0,nr,3.782e-16
3.7000000000000002,1,0,nr,3.782e-16
3.7125000000000004,1,0,nr,3.782e-16
3.7250000000000005,1,0,nr,3.782e-16
3.7375000000000003,1,0,nr,3.782e-16
3.7500000000000004,1,0,nr,3.782e-16
3.7625000000000002,1,0,nr,3.782e-16
3.7750000000000004,1,0,nr,3.782e-16
3.7875000000000005,1,0,nr,3.782e-16
3.8000000000000003,1,0,nr,3.782e-16
3.8125000000000004,1,0,nr,3.782e-16
3.8250000000000002,1,0,nr,3.782e-16
3.8375000000000004,1,0,nr,3.782e-16
3.8500000000000005,1,0,nr,3.782e-16
3.8625000000000003,1,0,nr,3.782e-16
3.8750000000000004,1,0,nr,3.782e-16
3.8875000000000002,1,0,nr,3.782e-16
3.9000000000000004,1,0,nr,3.782e-16
3.9125000000000005,1,0,nr,3.782e-16
3.9250000000000003,1,0,nr,3.782e-16
3.9375000000000004,1,0,nr,3.782e-16
3.9500000000000002,1,0,nr,3.782e-16
3.9625000000000004,1,0,nr,3.782e-16
3.9750000000000005,1,0,nr,3.782e-16
3.9875000000000003,1,0,nr,3.782e-16
4,1,0,nr,3.782e-16
4.0125000000000002,1,0,nr,3.782e-16
4.0250000000000004,1,0,nr,3.782e-16
4.0375000000000005,1,0,nr,3.782e-16
4.0500000000000007,1,0,nr,3.782e-16
4.0625,1,0,nr,3.782e-16
4.0750000000000002,1,0,nr,3.782e-16
4.0875000000000004,1,0,nr,3.782e-16
4.1000000000000005,1,0,nr,3.782e-16
4.1125000000000007,1,0,nr,3.782e-16
4.125,1,0,nr,3.782e-16
4.1375000000000002,1,0,nr,3.782e-16
4.1500000000000004,1,0,nr,3.782e-16
4.1625000000000005,1,0,nr,3.782e-16
4.1750000000000007,1,0,nr,3.782e-16
4.1875,1,0,nr,3.782e-16
4.2000000000000002,1,0,nr,3.782e-16
4.2125000000000004,1,0,nr,3.782e-16
4.2250000000000005,1,0,nr,3.782e-16
4.2375000000000007,1,0,nr,3.782e-16
4.25,1,0,nr,3.782e-16
4.2625000000000002,1,0,nr,3.782e-16
4.2750000000000004,1,0,nr,3.782e-16
4.2875000000000005,1,0,nr,3.782e-16
4.3000000000000007,1,0,nr,3.782e-16
4.3125,1,0,nr,3.782e-16
4.3250000000000002,1,0,nr,3.782e-16
4.3375000000000004,1,0,nr,3.782e-16
4.3500000000000005,1,0,nr,3.782e-16
4.3625000000000007,1,0,nr,3.782e-16
4.375,1,0,nr,3.782e-16
4.3875000000000002,1,0,nr,3.782e-16
4.4000000000000004,1,0,nr,3.782e-16
4.4125000000000005,1,0,nr,3.782e-16
4.4250000000000007,1,0,nr,3.782e-16
4.4375,1,0,nr,3.782e-16
4.4500000000000002,1,0,nr,3.782e-16
4.4625000000000004,1,0,nr,3.782e-16
4.4750000000000005,1,0,nr,3.782e-16
4.4875000000000007,1,0,nr,3.782e-16
4.5,1,0,nr,3.782e-16
4.5125000000000002,1,0,nr,3.782e-16
4.5250000000000004,1,0,nr,3.782e-16
4.5375000000000005,1,0,nr,3.782e-16
4.5500000000000007,1,0,nr,3.782e-16
4.5625,1,0,nr,3.782e-16
4.5750000000000002,1,0,nr,3.782e-16
4.5875000000000004,1,0,nr,3.782e-16
4.6000000000000005,1,0,nr,3.782e-16
4.6125000000000007,1,0,nr,3.782e-16
4.625,1,0,nr,3.782e-16
4.6375000000000002,1,0,nr,3.782e-16
4.6500000000000004,1,0,nr,3.782e-16
4.6625000000000005,1,0,nr,3.782e-16
4.6750000000000007,1,0,nr,3.782e-16
4.6875,1,0,nr,3.782e-16
4.7000000000000002,1,0,nr,3.782e-16
4.7125000000000004,1,0,nr,3.782e-16
4.7250000000000005,1,0,nr,3.782e-16
4.7375000000000007,1,0,nr,3.782e-16
4.75,1,0,nr,3.782e-16
4.7625000000000002,1,0,nr,3.782e-16
4.7750000000000004,1,0,nr,3.782e-16
4.7875000000000005,1,0,nr,3.782e-16
4.8000000000000007,1,0,nr,3.782e-16
4.8125000000000009,1,0,nr,3.782e-16
4.8250000000000002,1,0,nr,3.782e-16
4.8375000000000004,1,0,nr,3.782e-16
4.8500000000000005,1,0,nr,3.782e-16
4.8625000000000007,1,0,nr,3.782e-16
4.8750000000000009,1,0,nr,3.782e-16
4.8875000000000002,1,0,nr,3.782e-16
4.9000000000000004,1,0,nr,3.782e-16
4.9125000000000005,1,0,nr,3.782e-16
4.9250000000000007,1,0,nr,3.782e-16
4.9375000000000009,1,0,nr,3.782e-16
4.9500000000000002,1,0,nr,3.782e-16
4.9625000000000004,1,0,nr,3.782e-16
4.9750000000000005,1,0,nr,3.782e-16
4.9875000000000007,1,0,nr,3.782e-16
5.0000000000000009,1,0,nr,3.782e-16
5.0125000000000002,1,0,nr,3.782e-16
5.0250000000000004,1,0,nr,3.782e-16
5.0375000000000005,1,0,nr,3.782e-16
